Date Published,General Address,Status,Condition,Price Per SQMT,Article ID
2023-10-16,ავლაბარი,ახალი აშენებული,ახალი რემონტით,1900.0,3
2023-10-16,მუხიანი,ახალი აშენებული,მწვანე კარკასი,818.3,1
2023-10-16,მუხიანი,ძველი აშენებული,გარემონტებული,758.93,1
2023-10-16,მუხიანი,ძველი აშენებული,ძველი რემონტით,855.95,2
2023-10-16,ნავთლუღი,ახალი აშენებული,ახალი რემონტით,1126.44,8
2023-10-16,ნავთლუღი,ახალი აშენებული,გარემონტებული,888.89,1
2023-10-16,ნავთლუღი,ახალი აშენებული,მწვანე კარკასი,857.63,1
2023-10-16,ნავთლუღი,ძველი აშენებული,გარემონტებული,1026.35,1
2023-10-16,ნაძალადევი,ახალი აშენებული,ახალი რემონტით,1345.68,31
2023-10-16,ნაძალადევი,ახალი აშენებული,თეთრი კარკასი,1209.02,3
2023-10-16,ნაძალადევი,ახალი აშენებული,მიმდინარე რემონტი,1141.33,1
2023-10-16,ნაძალადევი,ახალი აშენებული,მწვანე კარკასი,1250.75,3
2023-10-16,ნაძალადევი,ახალი აშენებული,შავი კარკასი,786.63,1
2023-10-16,ნაძალადევი,ძველი აშენებული,ახალი რემონტით,1141.67,3
2023-10-16,ნაძალადევი,ძველი აშენებული,გარემონტებული,1345.68,1
2023-10-16,ნაძალადევი,ძველი აშენებული,სარემონტო,871.21,1
2023-10-16,ნაძალადევი,ძველი აშენებული,ძველი რემონტით,982.295,2
2023-10-16,ნუცუბიძის პლატო,ახალი აშენებული,ახალი რემონტით,1494.4450000000002,18
2023-10-16,ნუცუბიძის პლატო,ახალი აშენებული,თეთრი კარკასი,843.75,1
2023-10-16,ნუცუბიძის პლატო,ახალი აშენებული,მწვანე კარკასი,1104.76,3
2023-10-16,ნუცუბიძის პლატო,ძველი აშენებული,ახალი რემონტით,1392.41,3
2023-10-16,ნუცუბიძის პლატო,ძველი აშენებული,გარემონტებული,1126.32,1
2023-10-16,მუხიანი,ახალი აშენებული,ახალი რემონტით,1275.0,7
2023-10-16,ნუცუბიძის პლატო,ძველი აშენებული,მწვანე კარკასი,861.11,1
2023-10-16,მთაწმინდა,ძველი აშენებული,ძველი რემონტით,1604.17,5
2023-10-16,მთაწმინდა,ძველი აშენებული,გარემონტებული,2022.715,4
2023-10-16,თემქა,ძველი აშენებული,სარემონტო,680.77,2
2023-10-16,თემქა,ძველი აშენებული,ძველი რემონტით,1006.99,3
2023-10-16,ივერთუბანი,ახალი აშენებული,შავი კარკასი,936.36,1
