Date Published,General Address,Status,Condition,Article ID,Price Per SQMT
2023-10-23,ისანი,ახალი აშენებული,ახალი რემონტით,1,1562.5
2023-10-27,საბურთალო,ახალი აშენებული,გარემონტებული,1,2500.0
2023-10-28,მუხიანი,ძველი აშენებული,გარემონტებული,1,882.35
2023-10-29,ლისის ტბის დასახლება,ახალი აშენებული,სარემონტო,1,2246.38
2023-10-29,მუხიანი,ძველი აშენებული,ძველი რემონტით,1,1150.0
2023-10-29,ნავთლუღი,ახალი აშენებული,ახალი რემონტით,1,1293.33
2023-10-29,ნაძალადევი,ახალი აშენებული,თეთრი კარკასი,1,1196.08
2023-10-29,ნაძალადევი,მშენებარე,თეთრი კარკასი,1,1147.06
2023-10-29,ორთაჭალა,ახალი აშენებული,ახალი რემონტით,2,1292.7450000000001
2023-10-29,ორთაჭალა,ახალი აშენებული,მწვანე კარკასი,1,2809.25
2023-10-29,ორთაჭალა,ძველი აშენებული,ახალი რემონტით,2,1454.03
2023-10-29,ორთაჭალა,ძველი აშენებული,გარემონტებული,1,1058.82
2023-10-29,საბურთალო,ახალი აშენებული,ახალი რემონტით,1,1677.02
2023-10-29,საბურთალო,ახალი აშენებული,გარემონტებული,2,1541.665
2023-10-29,საბურთალო,ახალი აშენებული,თეთრი კარკასი,1,1453.33
2023-10-29,საბურთალო,ახალი აშენებული,მწვანე კარკასი,1,1453.33
2023-10-29,საბურთალო,ახალი აშენებული,სარემონტო,1,1155.41
2023-10-29,საბურთალო,ძველი აშენებული,ახალი რემონტით,1,1361.11
2023-10-29,საბურთალო,ძველი აშენებული,გარემონტებული,1,1093.75
2023-10-29,საბურთალო,ძველი აშენებული,ძველი რემონტით,2,1420.73
2023-10-29,სამგორი,ახალი აშენებული,ახალი რემონტით,3,1228.26
2023-10-29,სამგორი,ახალი აშენებული,გარემონტებული,1,1248.3
2023-10-29,სამგორი,ძველი აშენებული,გარემონტებული,1,1142.86
2023-10-29,სამგორი,ძველი აშენებული,მწვანე კარკასი,1,1083.33
2023-10-29,სამგორი,ძველი აშენებული,ძველი რემონტით,1,867.92
2023-10-29,სანზონა,ახალი აშენებული,ახალი რემონტით,1,1592.59
2023-10-29,სოლოლაკი,ახალი აშენებული,ახალი რემონტით,2,2456.935
2023-10-29,ლისის ტბის დასახლება,ახალი აშენებული,ახალი რემონტით,1,1333.33
2023-10-29,ისანი,ძველი აშენებული,ძველი რემონტით,1,804.6
2023-10-29,საბურთალო,მშენებარე,თეთრი კარკასი,1,990.2
2023-10-29,ისანი,ახალი აშენებული,ახალი რემონტით,7,1350.88
2023-10-29,ისანი,ახალი აშენებული,სარემონტო,1,1289.47
2023-10-29,ავლაბარი,ახალი აშენებული,ახალი რემონტით,2,1702.835
2023-10-29,გლდანი,ახალი აშენებული,ახალი რემონტით,1,1180.0
2023-10-29,გლდანი,მშენებარე,მწვანე კარკასი,1,1328.57
2023-10-29,გლდანი,ძველი აშენებული,ახალი რემონტით,1,1142.86
2023-10-29,გლდანი,ძველი აშენებული,გარემონტებული,1,1333.33
2023-10-29,გლდანი,ძველი აშენებული,ძველი რემონტით,2,965.0
2023-10-29,დიდი დიღომი,ახალი აშენებული,ახალი რემონტით,6,1235.715
2023-10-29,დიდი დიღომი,ახალი აშენებული,მწვანე კარკასი,1,796.3
2023-10-29,დიდი დიღომი,მშენებარე,თეთრი კარკასი,1,850.24
2023-10-29,დიდუბე,ახალი აშენებული,ახალი რემონტით,1,1470.59
2023-10-29,დიდუბე,ძველი აშენებული,ახალი რემონტით,1,1071.43
2023-10-29,გლდანი,ძველი აშენებული,სარემონტო,2,932.2049999999999
2023-10-29,დიღმის მასივი,ახალი აშენებული,გარემონტებული,2,1396.675
2023-10-29,თემქა,ახალი აშენებული,ახალი რემონტით,1,1114.29
2023-10-29,დიღმის მასივი,ახალი აშენებული,ახალი რემონტით,1,988.76
2023-10-29,ვარკეთილი,ძველი აშენებული,ძველი რემონტით,1,1023.08
2023-10-29,ვარკეთილი,ძველი აშენებული,გარემონტებული,1,895.83
2023-10-29,ვარკეთილი,ახალი აშენებული,ახალი რემონტით,1,1366.67
2023-10-29,ვაჟა-ფშაველა,ძველი აშენებული,ახალი რემონტით,2,1752.38
2023-10-29,ვაჟა-ფშაველა,ძველი აშენებული,ძველი რემონტით,1,1222.22
2023-10-29,ვაკე,ახალი აშენებული,ახალი რემონტით,3,1935.48
2023-10-29,ვაზისუბანი,ძველი აშენებული,გარემონტებული,2,796.685
2023-10-29,ვაზისუბანი,ახალი აშენებული,მწვანე კარკასი,1,850.0
2023-10-29,ვაზისუბანი,ახალი აშენებული,ახალი რემონტით,3,1250.0
2023-10-29,დიღომი,ძველი აშენებული,ძველი რემონტით,1,1133.33
2023-10-30,ნავთლუღი,ძველი აშენებული,ძველი რემონტით,1,867.92
2023-10-30,მუხიანი,ახალი აშენებული,მწვანე კარკასი,2,987.8299999999999
2023-10-30,მთაწმინდა,ძველი აშენებული,ძველი რემონტით,3,2000.0
2023-10-30,მუხიანი,მშენებარე,თეთრი კარკასი,1,1280.39
2023-10-30,ნავთლუღი,ახალი აშენებული,ახალი რემონტით,1,1320.0
2023-10-30,მუხიანი,ახალი აშენებული,ახალი რემონტით,2,1153.855
2023-10-30,ნაძალადევი,ახალი აშენებული,ახალი რემონტით,10,1328.8249999999998
2023-10-30,ნუცუბიძის პლატო,ახალი აშენებული,სარემონტო,1,651.85
2023-10-30,ნუცუბიძის პლატო,ახალი აშენებული,ახალი რემონტით,5,1505.38
2023-10-30,ნუცუბიძის პლატო,ახალი აშენებული,გარემონტებული,1,1505.38
2023-10-30,ნუცუბიძის პლატო,ახალი აშენებული,თეთრი კარკასი,1,1131.84
2023-10-30,ნუცუბიძის პლატო,ახალი აშენებული,მწვანე კარკასი,1,1240.74
2023-10-30,ნუცუბიძის პლატო,მშენებარე,თეთრი კარკასი,1,1149.02
2023-10-30,მთაწმინდა,ძველი აშენებული,სარემონტო,1,1923.08
2023-10-30,ნუცუბიძის პლატო,ძველი აშენებული,გარემონტებული,2,953.845
2023-10-30,ნაძალადევი,ახალი აშენებული,გარემონტებული,1,1380.95
2023-10-30,მთაწმინდა,ახალი აშენებული,ახალი რემონტით,3,2944.44
2023-10-30,თემქა,ძველი აშენებული,გარემონტებული,1,1088.89
2023-10-30,ლისის ტბის დასახლება,ახალი აშენებული,შავი კარკასი,6,846.15
2023-10-30,ნუცუბიძის პლატო,ძველი აშენებული,ძველი რემონტით,1,1000.0
2023-10-30,ვერა,ძველი აშენებული,მიმდინარე რემონტი,1,2500.0
2023-10-30,ვეძისი,ახალი აშენებული,ახალი რემონტით,2,1635.0149999999999
2023-10-30,ვეძისი,ძველი აშენებული,მიმდინარე რემონტი,1,1250.0
2023-10-30,თემქა,ახალი აშენებული,ახალი რემონტით,1,1400.0
2023-10-30,თემქა,ძველი აშენებული,ძველი რემონტით,2,761.665
2023-10-30,ისანი,ახალი აშენებული,ახალი რემონტით,18,1484.85
2023-10-30,ისანი,ახალი აშენებული,მწვანე კარკასი,1,1384.62
2023-10-30,ისანი,ძველი აშენებული,ახალი რემონტით,1,904.76
2023-10-30,ისანი,ძველი აშენებული,გარემონტებული,1,904.76
2023-10-30,ისანი,ძველი აშენებული,მიმდინარე რემონტი,1,534.88
2023-10-30,ისანი,ძველი აშენებული,ძველი რემონტით,3,1092.11
2023-10-30,ლისის ტბის დასახლება,ახალი აშენებული,ახალი რემონტით,8,1531.8200000000002
2023-10-30,ლისის ტბის დასახლება,ახალი აშენებული,თეთრი კარკასი,2,1750.0
2023-10-30,ლისის ტბის დასახლება,ახალი აშენებული,მწვანე კარკასი,1,1300.12
2023-10-30,ლისის ტბის დასახლება,მშენებარე,თეთრი კარკასი,2,1177.82
2023-10-30,ორთაჭალა,ახალი აშენებული,ახალი რემონტით,11,1375.0
2023-10-30,სოლოლაკი,ძველი აშენებული,გარემონტებული,1,1809.52
2023-10-30,ორთაჭალა,ახალი აშენებული,მიმდინარე რემონტი,1,1323.53
2023-10-30,სანზონა,ახალი აშენებული,ახალი რემონტით,5,1444.44
2023-10-30,სანზონა,ახალი აშენებული,თეთრი კარკასი,1,956.52
2023-10-30,სანზონა,ახალი აშენებული,მწვანე კარკასი,1,1363.64
2023-10-30,სანზონა,ძველი აშენებული,გარემონტებული,1,1200.0
2023-10-30,სოლოლაკი,ახალი აშენებული,შავი კარკასი,1,2013.42
2023-10-30,სოლოლაკი,ძველი აშენებული,ახალი რემონტით,2,1941.025
2023-10-30,ვერა,ძველი აშენებული,გარემონტებული,1,2449.54
2023-10-30,სოფელი დიღომი,ახალი აშენებული,ახალი რემონტით,1,1285.71
