Date Published,Lat,Lon,Street,Size,Price Per SQMT
2023-10-23/2023-10-29,41.657316,44.872239390029385,კრწანისის რაიონი,1,0.0005203360607890082
2023-10-23/2023-10-29,41.6671043,44.8930646,ოცხელის ქუჩა,1,0.00034394966393995707
2023-10-23/2023-10-29,41.6721906,44.8773537,ბერი გაბრიელ სალოსის გამზირი,1,0.00025545484718976627
2023-10-23/2023-10-29,41.6735884,44.8523018,შ. ნადირაშვილის ქუჩა,4,0.00037986764413207525
2023-10-23/2023-10-29,41.6754651,44.8773492,მოსკოვის გამზირი,3,0.0003551222417085475
2023-10-23/2023-10-29,41.6760312,44.8189321,კრწანისის I გასასვლელი,2,0.0008900709166436022
2023-10-23/2023-10-29,41.6770168,44.8388703,რიჩარდ ჰოლბრუკის ქუჩა,1,0.000551120179585329
2023-10-23/2023-10-29,41.6866296,44.8158428,გრიშაშვილის ქუჩა,1,0.00052386340773442
2023-10-23/2023-10-29,41.6872642,44.8237051,ბოდბის ქუჩის,1,0.0005302132672221099
2023-10-23/2023-10-29,41.6886257,44.9786133,Tbilisi Railway Bypass,1,0.00036285002070506614
2023-10-23/2023-10-29,41.68943,44.8595197,შალვა აზმაიფარაშვილის ქუჩა,1,0.00038996392071750225
2023-10-23/2023-10-29,41.6904488,44.8869191,გიორგი აბაშვილის ქუჩა,1,0.00032911004231722565
2023-10-23/2023-10-29,41.693202,44.8580962,დავით კვაჭანტირაძის ქუჩა,1,0.0004259041254178273
2023-10-23/2023-10-29,41.6934591,44.8014495,თბილისი,2,0.000780059601019374
2023-10-23/2023-10-29,41.7001999,44.8519182,თეოფანე დავითაიას ქუჩა,1,0.0002677640498066532
2023-10-23/2023-10-29,41.70167015,44.847662265370126,ვაზისუბნის 1-ლი მიკრორაიონი,1,0.00039392623303782077
2023-10-23/2023-10-29,41.7037263,44.7724829,გიორგი შატბერაშვილის ქუჩა,1,0.0006249595206379315
2023-10-23/2023-10-29,41.7039551,44.8483474,ზურაბ პატარიძის ქუჩა,1,0.0003968662179806212
2023-10-23/2023-10-29,41.7063787,44.8029491,მიხეილ წინამძღვრიშვილის ქუჩა,1,0.00042271649595500694
2023-10-23/2023-10-29,41.7067619,44.7817388,სიმონ ჯანაშიას ქუჩა,1,0.000505636136075006
2023-10-23/2023-10-29,41.7071717,44.7885558,ნიკო ნიკოლაძის ქუჩა,1,0.0003005388495523648
2023-10-23/2023-10-29,41.7101506,44.8193015,პ. ბაგრატიონის ქუჩა,2,0.0004318841055903593
2023-10-23/2023-10-29,41.7152447,44.7574165,ვლადიმერ გაბაშვილის ქუჩა,1,5.556127051728696e-07
2023-10-23/2023-10-29,41.7181101,44.7833032,მერაბ ალექსიძის III შეს.,3,0.0005324420679022891
2023-10-23/2023-10-29,41.7191232,44.7370577,უნივერსიტეტის I შესახვევი,1,0.00036683455753359163
2023-10-23/2023-10-29,41.7195641,44.7590348,ბახტრიონის ქუჩა,2,0.0005291544281525376
2023-10-23/2023-10-29,41.7200371,44.7164636,ანა პოლიტკოვსკაიას ქუჩა,3,0.00046142206446222095
2023-10-23/2023-10-29,41.7215552,44.720010833729745,ვაჟა-ფშაველას გამზირის VI კვარტალი,1,0.00038804626315221987
2023-10-23/2023-10-29,41.724162,44.7311381,ვაჟა-ფშაველას გამზირის 2 კვარტალი,1,0.0004259041254178273
2023-10-23/2023-10-29,41.7243479,44.7620268,ადამ მიცკევიჩის ქუჩა,1,0.0007937324359612424
2023-10-23/2023-10-29,41.7244082,44.7168682,ზურაბ ანჯაფარიძის ქუჩა,1,0.0006922394568397503
2023-10-23/2023-10-29,41.7257647,44.73429918071663,ვაჟა-ფშაველას გამზირის II კვარტალი,1,0.0004868215024129807
2023-10-23/2023-10-29,41.7259247,44.8021605,მიხეილ მესხის I შესახვევი,1,0.0003518171398452049
2023-10-23/2023-10-29,41.7270196,44.7995778,ც.დადიანის,1,0.0004054734525161849
2023-10-23/2023-10-29,41.7306873,44.7521294,ვ. ჩიქოვანის ქუჩა,2,0.0004117487011548945
2023-10-23/2023-10-29,41.7333939,44.764809,ი. ნონეშვილის ქუჩა,1,0.0003651169205421715
2023-10-23/2023-10-29,41.7399325,44.7706916,აკაკი ბაქრაძის ქუჩა,1,0.0003401714975447816
2023-10-23/2023-10-29,41.742052099999995,44.85405842500002,თბილისის ზღვა,1,0.0004233229075360813
2023-10-23/2023-10-29,41.743903849999995,44.73460484132602,ლისის ტბა,1,0.0007132098677978463
2023-10-23/2023-10-29,41.7526098,44.78907518455388,,1,0.00033616791113779304
2023-10-23/2023-10-29,41.7672372,44.7624451,გიორგი ბრწყინვალეს ქუჩა,1,0.0003696824695138206
2023-10-23/2023-10-29,41.7849279,44.7642937,ასმათის ქუჩა,1,0.0002699452265406747
2023-10-23/2023-10-29,41.7867757,44.7569113,ვეფხისტყაოსნის ქუჩა,2,0.00032295385354391026
2023-10-23/2023-10-29,41.7891173,44.8109021,თენგიზ შეშელიძის ქუჩა,1,0.0004218116409780111
2023-10-23/2023-10-29,41.7924757,44.739673,არჩილ მეფის ქუჩა,1,0.00039157361009763163
2023-10-23/2023-10-29,41.7938884,44.755381,პეტრე იბერის ქუჩა,1,0.0004404389537851496
2023-10-23/2023-10-29,41.7983681,44.7742156,გრიგოლ ფერაძის ქუჩა,1,0.0003598243126591819
2023-10-23/2023-10-29,41.8009587,44.7479203,ასი ათასი მოწამის ქუჩა,1,0.0004215004978631143
2023-10-23/2023-10-29,41.8225231,44.7844664,წმინდა ქეთევან წამებულის სახელობის ეკლესია,6,0.0004624888408561529
2023-10-23/2023-10-29,41.8262639,44.8057542,ნოდარ დუმბაძის ქუჩა,1,0.0002801399259481609
2023-10-23/2023-10-29,41.839807,43.384652,Tbilisi,1,0.0006145013020617062
2023-10-30/2023-11-05,41.6284342,44.9222642,რუსთავის გზატკეცილი,1,0.0002236896751025973
2023-10-30/2023-11-05,41.6305462,44.91769801455217,ფონიჭალა,2,0.0002337907140826401
2023-10-30/2023-11-05,41.6452857,44.7534459,თრიალეთის ქუჩა,8,0.000491814079435177
2023-10-30/2023-11-05,41.6474869,44.7602777,გრ. რობაქიძის II შესახვევი,4,0.00033661875116141904
